ts_code,code,weight,value分,pe_ttm,pb,circ_mv亿,name
002074.SZ,002074,0.0037593984962406013,0.957,19.6,2.29,623.6,国轩高科
601766.SH,601766,0.0037593984962406013,0.957,13.8,1.06,1544.8,中国中车
002941.SZ,002941,0.0037593984962406013,0.957,19.5,2.44,114.7,新疆交建
600874.SH,600874,0.0037593984962406013,0.956,11.1,0.94,75.3,创业环保
688708.SH,688708,0.0037593984962406013,0.956,48.2,6.01,74.9,佳驰科技
002415.SZ,002415,0.0037593984962406013,0.956,19.8,3.38,2779.1,海康威视
000963.SZ,000963,0.0037593984962406013,0.955,17.2,2.64,637.0,华东医药
600436.SH,600436,0.0037593984962406013,0.955,38.1,6.38,923.1,片仔癀
688036.SH,688036,0.0037593984962406013,0.955,24.3,3.06,627.5,传音控股
688050.SH,688050,0.0037593984962406013,0.954,38.3,3.65,101.6,爱博医疗
002395.SZ,002395,0.0037593984962406013,0.954,8.4,3.21,48.2,双象股份
300428.SZ,300428,0.0037593984962406013,0.954,16.1,1.62,124.8,立中集团
300760.SZ,300760,0.0037593984962406013,0.954,24.7,5.28,2009.7,迈瑞医疗
688330.SH,688330,0.0037593984962406013,0.953,10.5,1.54,67.2,宏力达
002967.SZ,002967,0.0037593984962406013,0.953,30.8,2.67,112.2,广电计量
003006.SZ,003006,0.0037593984962406013,0.953,25.8,5.16,75.6,百亚股份
603997.SH,603997,0.0037593984962406013,0.953,33.7,2.86,152.9,继峰股份
002006.SZ,002006,0.0037593984962406013,0.952,41.8,3.8,91.3,精工科技
300896.SZ,300896,0.0037593984962406013,0.952,28.0,4.77,244.3,爱美客
002668.SZ,002668,0.0037593984962406013,0.952,8.8,2.78,98.7,TCL智家
600582.SH,600582,0.0037593984962406013,0.951,9.8,0.93,238.8,天地科技
000498.SZ,000498,0.0037593984962406013,0.951,4.0,0.58,84.9,山东路桥
300661.SZ,300661,0.0037593984962406013,0.951,80.0,8.24,419.7,圣邦股份
600378.SH,600378,0.0037593984962406013,0.951,28.2,2.25,336.0,昊华科技
000403.SZ,000403,0.0037593984962406013,0.95,22.5,1.57,124.5,派林生物
301510.SZ,301510,0.0037593984962406013,0.95,187.6,8.74,85.9,固高科技
300406.SZ,300406,0.0037593984962406013,0.949,16.5,1.93,51.7,九强生物
600885.SH,600885,0.0037593984962406013,0.949,23.8,3.6,435.6,宏发股份
000100.SZ,000100,0.0037593984962406013,0.948,19.9,1.46,826.5,TCL科技
603529.SH,603529,0.0037593984962406013,0.947,11.7,2.89,268.5,爱玛科技
300685.SZ,300685,0.0037593984962406013,0.947,25.4,4.46,90.3,艾德生物
600458.SH,600458,0.0037593984962406013,0.947,21.5,1.39,102.2,时代新材
300662.SZ,300662,0.0037593984962406013,0.946,15.7,2.11,47.6,科锐国际
601128.SH,601128,0.0037593984962406013,0.946,5.6,0.79,236.1,常熟银行
300496.SZ,300496,0.0037593984962406013,0.946,56.5,2.71,219.1,中科创达
002221.SZ,002221,0.0037593984962406013,0.945,34.6,1.21,124.5,东华能源
600763.SH,600763,0.0037593984962406013,0.945,36.8,4.37,190.0,通策医疗
600576.SH,600576,0.0037593984962406013,0.944,33.3,2.16,40.2,祥源文旅
000726.SZ,000726,0.0037593984962406013,0.944,9.3,0.6,41.8,鲁泰A
600853.SH,600853,0.0037593984962406013,0.944,10.0,1.19,40.4,龙建股份
000563.SZ,000563,0.0037593984962406013,0.944,12.2,0.93,175.4,陕国投A
601965.SH,601965,0.0037593984962406013,0.943,16.7,2.26,176.0,中国汽研
688088.SH,688088,0.0037593984962406013,0.943,61.3,5.77,158.1,虹软科技
600976.SH,600976,0.0037593984962406013,0.943,14.6,1.98,52.6,健民集团
603209.SH,603209,0.0037593984962406013,0.942,18.4,1.47,48.3,兴通股份
600848.SH,600848,0.0037593984962406013,0.942,16.4,1.32,245.4,上海临港
600276.SH,600276,0.0037593984962406013,0.942,49.7,6.25,3682.6,恒瑞医药
600050.SH,600050,0.0037593984962406013,0.942,15.3,0.83,1378.4,中国联通
600529.SH,600529,0.0037593984962406013,0.941,18.1,1.5,124.6,山东药玻
603611.SH,603611,0.0037593984962406013,0.941,12.3,1.66,52.8,诺力股份
002245.SZ,002245,0.0037593984962406013,0.941,27.2,2.64,183.7,蔚蓝锂芯
300144.SZ,300144,0.0037593984962406013,0.941,26.1,2.48,186.6,宋城演艺
605183.SH,605183,0.0037593984962406013,0.94,15.9,2.12,78.6,确成股份
688082.SH,688082,0.0037593984962406013,0.94,49.9,5.18,689.6,盛美上海
002568.SZ,002568,0.0037593984962406013,0.94,26.3,3.84,125.3,百润股份
002032.SZ,002032,0.0037593984962406013,0.939,17.0,5.67,357.0,苏泊尔
002241.SZ,002241,0.0037593984962406013,0.939,27.8,2.3,715.6,歌尔股份
600523.SH,600523,0.0037593984962406013,0.939,29.2,1.75,56.2,贵航股份
600729.SH,600729,0.0037593984962406013,0.939,9.5,1.25,42.5,重百集团
688271.SH,688271,0.0037593984962406013,0.938,50.1,4.38,945.4,联影医疗
000733.SZ,000733,0.0037593984962406013,0.938,26.9,1.67,254.8,振华科技
600150.SH,600150,0.0037593984962406013,0.938,32.5,1.66,2336.7,中国船舶
