ts_code,ann_date,proc,回购金额比例,回购股本比例,回购溢价,信心强度,roe,pb,破净,dv_ttm,ocf_to_profit,事件前2月跌幅,cur_close,high_limit,low_limit,现价低于回购上限
301023.SZ,2026-05-27,完成,0.011498313593846999,0.012594641442664773,-0.6457887783028331,0.9258848193365397,8.7419,4.0736,False,1.6133,102.3366,0.2967428,87.6862,42.0,36.43,False
000812.SZ,2026-04-11,完成,0.022140496269071004,0.021441474394080753,-0.8576231191085664,0.9251449007275866,0.6548,2.0067,False,0.6897,523.803,-0.09777784,24.811687,4.32,3.98,False
002601.SZ,2026-06-02,实施,0.02630278588990877,0.022524167678297985,-0.8830624087156232,0.9168824762609447,0.8179,1.4977,False,4.1599,153.5897,-0.14962018,182.5092,20.06,14.32,False
600059.SH,2026-04-23,完成,0.024498488268489504,0.021837382129579527,-0.8649633496675047,0.9115797262301147,1.0547,1.3893,False,0.8889,-283.598,-0.104895175,67.25605,10.5,9.12,False
688310.SH,2026-04-20,完成,0.011247666033453068,0.011532600718334321,-0.5074038453325589,0.9099765692440498,1.0938,3.447,False,,,-0.093516946,37.140068,16.5,14.69,False
600130.SH,2026-04-08,实施,0.01954283100917431,0.020007188,-0.8256670833432164,0.9087433715624614,0.5458,3.4001,False,,-239.0522,-0.004651189,28.52663,4.5,3.27,False
600702.SH,2026-06-16,完成,0.029116490530019242,0.008343424321533205,-0.03147797891941151,0.8941916389197189,3.2987,1.7767,False,0.8016,-33.6701,-0.15038896,140.5215,138.13,130.81,False
000925.SZ,2026-06-16,完成,0.010957319139167414,0.013325549465866351,-0.701810087787726,0.8917252435565421,-1.0237,1.7896,False,,,0.13043475,24.723984,7.517,6.592,False
600576.SH,2026-05-07,完成,0.0134163733139194,0.011801923484899375,-0.5830687812971691,0.8891355284252065,0.7005,2.3065,False,,128.1999,-0.110764444,18.3645,7.486,5.609,False
000425.SZ,2026-04-01,完成,0.02224833594302865,0.026775700443386157,-0.9775458737084173,0.8747071155506227,10.0308,2.0648,False,1.664,82.5841,-0.061452508,394.8111,9.94,8.0,False
688089.SH,2026-04-23,完成,0.011125782507799612,0.00689201512074925,-0.039900187532822096,0.868541127142681,9.0105,1.6974,False,1.2484,180.6456,0.033557057,16.906052,28.58,20.84,True
000795.SZ,2026-06-09,完成,0.011534363040003355,0.015617807703368689,-0.803043544788461,0.8599087433715624,2.5829,4.2211,False,2.7772,-304.299,-0.04133469,44.51518,7.93,6.37,False
603579.SH,2026-06-12,实施,0.012522572438514554,0.012071979417262657,-0.6693810601509473,0.8559625107904798,2.4686,1.3619,False,2.6461,-122.4133,-0.058039248,68.23732,20.15,18.06,False
000957.SZ,2026-04-02,实施,0.014979022959472985,0.015610285980628066,-0.8063221594009501,0.8405475397706252,9.1314,2.1608,False,0.8783,141.5706,-0.02422148,52.016582,11.33,10.49,False
301367.SZ,2026-06-22,实施,0.011359945759594722,0.010363392939206175,-0.43121123987709375,0.8367246269577013,1.2582,1.6261,False,1.1767,73.2596,-0.21938598,81.102165,46.13,40.22,False
000703.SZ,2026-05-20,完成,0.01783677573881641,0.02082465065820343,-0.8973381269292777,0.8348748304353187,7.7458,2.1202,False,0.2944,-88.1096,0.37081778,123.65428,14.97,10.62,False
601021.SH,2026-04-01,完成,0.010705996982137233,0.010162844042996576,-0.43022814798481845,0.8246392896781354,13.1358,2.6291,False,2.6035,179.1819,-0.17837453,97.33152,55.99,43.11,False
002164.SZ,2026-06-02,实施,0.01182753488871731,0.01134560036469597,-0.6207741273536937,0.8194598594154643,1.3783,4.2542,False,,-215.5432,0.08234298,40.56044,15.25,11.84,False
600267.SH,2026-06-18,完成,0.016749627615874417,0.015665116596978328,-0.8352396717852452,0.80083857442348,4.0523,1.2993,False,2.0925,93.2368,-0.12419784,72.316734,11.673,10.133,False
300583.SZ,2026-06-03,实施,0.01010763169781948,0.01000062592867304,-0.4018779608446862,0.7999753360463682,0.205,1.3536,False,0.1587,563.4614,-0.078796566,19.219566,12.9,12.51,False
600872.SH,2026-06-12,实施,0.021432761796150626,0.020350071575309613,-0.9030878264053005,0.7963990627697619,4.4656,2.3226,False,2.3588,110.918,-0.10885048,205.03401,19.95,17.25,False
000821.SZ,2026-06-02,实施,0.012226044593396917,0.009001488257403802,-0.3354622186138392,0.7949192255518559,4.8119,1.3525,False,0.7726,109.7502,-0.18857664,21.597319,14.85,8.82,False
300347.SZ,2026-06-16,实施,0.02062275058946582,0.020653588819989827,-0.9210108226591524,0.7762979405598717,0.2342,1.6203,False,0.7561,78.2833,-0.3159722,515.1368,39.96,38.22,False
002960.SZ,2026-04-03,实施,0.011683293316026463,0.011570785836213252,-0.7007128339151809,0.7724750277469479,5.1154,1.5584,False,1.4509,95.5397,0.08172631,36.8904,11.76,11.19,False
002556.SZ,2026-05-07,完成,0.01753234094160189,0.012231386007967223,-0.7474296830399905,0.7511407078554693,1.4761,1.566,False,4.0127,-793.8799,-0.1216023,31.45898,9.76,8.11,False
300813.SZ,2026-04-24,完成,0.010671568017589506,0.010049322182513403,-0.5007716983303535,0.7404118880256505,2.0298,3.7612,False,0.8013,281.7437,-0.03644824,42.41028,26.84,26.0,False
601933.SH,2026-06-23,完成,0.01737372450133474,0.016528839289107238,-0.875456916106088,0.7286965100505611,14.3455,13.145,False,,158.8616,-0.17989415,28.423899,3.54,2.86,False
000048.SZ,2026-06-06,完成,0.01931226757289834,0.015576494086460321,-0.8643553420634599,0.7231471204834135,-5.898,1.991,False,2.6379,,-0.1274752,192.28902,19.5,15.0,False
600826.SH,2026-04-24,完成,0.013174281420280591,0.015430949431784519,-0.87564751057439,0.6781354051054385,7.4588,1.6696,False,2.6713,79.2256,-0.22861838,74.94042,9.14,7.49,False
