date,elg_net,lg_net,md_net,sm_net,turnover,main_net
2025-02-11,-252.62139399999975,-331.57897700000035,88.43144200000017,495.7689050000005,16357.037526000002,-584.2003710000001
2025-02-12,76.22213000000008,-131.20611799999998,-82.66653800000027,137.65048100000024,16768.312428,-54.9839879999999
2025-02-13,-263.30796800000036,-329.1389039999999,72.86361799999922,519.583332,18195.226488999997,-592.4468720000002
2025-02-14,-74.67994800000042,-239.56582899999992,-27.10560500000045,341.35131700000017,17145.799475,-314.2457770000003
2025-02-17,-156.8350870000001,-208.1606530000001,65.6168549999997,299.37891799999994,19410.428506,-364.9957400000002
2025-02-18,-424.4077050000001,-475.70436200000046,100.74266700000018,799.3694260000005,17988.086005,-900.1120670000005
2025-02-19,158.84333999999984,-62.73748100000024,-134.80005500000044,38.69423200000003,17207.923308999998,96.10585899999961
2025-02-20,-116.65510599999986,-210.26401299999952,55.76322699999958,271.15588900000006,17563.404909,-326.9191189999994
2025-02-21,178.88625500000006,-161.70227499999925,-153.78059099999965,136.59662899999992,21920.369264,17.183980000000815
2025-02-24,-323.9380319999997,-290.2300850000009,132.53772400000096,481.63042700000034,20799.067248000003,-614.1681170000006
2025-02-25,-172.67644400000015,-307.1218079999998,11.21401499999985,468.58427600000056,18963.921184,-479.79825199999993
2025-02-26,23.51820899999961,-116.84870099999979,-59.29767899999991,152.62819400000052,19380.399412,-93.33049200000018
2025-02-27,-427.8831400000002,-366.5057609999992,154.72682800000086,639.6621229999997,20042.428338,-794.3889009999994
2025-02-28,-556.423162,-588.1680380000003,166.4487950000003,978.1423659999997,18666.428775,-1144.5912000000003
2025-03-03,-96.03276300000009,-201.86818000000045,-19.021867999999227,316.9228770000003,16244.299297000003,-297.90094300000055
2025-03-04,35.34592599999998,-107.41932299999968,-69.9328900000006,142.00630200000032,14353.486882000003,-72.0733969999997
2025-03-05,-2.1222949999999257,-153.94746499999985,16.643490999999642,139.42621199999974,14936.028162999999,-156.06975999999977
2025-03-06,389.2903690000001,5.875102999999374,-259.69436000000087,-135.47110900000035,19061.521584000002,395.1654719999995
2025-03-07,-322.3256140000001,-390.9770410000011,68.14082300000042,645.1617749999992,18179.662252000002,-713.3026550000012
2025-03-10,-144.38790199999997,-102.19008400000035,55.27031200000048,191.3076940000005,15053.896783000002,-246.57798600000032
2025-03-11,10.26905399999991,-148.88350200000033,-55.29839800000042,193.9128799999997,14816.330834,-138.61444800000044
2025-03-12,25.64227400000021,-106.16159299999997,-70.00627599999979,150.52562800000086,16835.102509000004,-80.51931899999975
2025-03-13,-399.72282699999994,-405.7876160000004,84.86381300000102,720.6466920000001,16063.979854000003,-805.5104430000004
2025-03-14,377.10654400000016,75.36043699999973,-276.51409299999995,-175.95281900000126,17915.013956999996,452.4669809999999
2025-03-17,-143.00821499999986,-163.04628400000036,74.28015600000023,231.77426699999944,15727.300464999998,-306.0544990000002
2025-03-18,-51.26682899999991,-171.27962400000095,-36.71142700000033,259.257843,15194.394391,-222.54645300000087
