Signal Date,code,Name,Close,Score,VolRatio,market_vol_ratio,mom_acc,ret_10,ret_20,dist_high,bias_20,macd_hist,bb_position,alpha_mom10,sector_rs_5,sector_rs_10,gap,gap_ma3,reversal,rsi,beta_60d,clv_ma5,vol_10,vol_20,vol_5,skew_10,skew_20,skew_5,atr_ratio,vol_ratio,vol_ratio5,vol_ratio10,turnover_cv,turnover_cv10,turnover_cv5,open_strength_ma5,vpt,buy_force,sector_heat,sector_support,pv_corr,smart_proxy,illiq_ma10,amp_ma_5,amp_ma_10,amp_ma_20,vol_z,mom_10,near_high,pv_divergence,vol_stability,downside_rs,accum_trend,coil,mf_cum20,mf_trend,elg_cum20,size_lnmv,val_pe_ttm,val_pb,val_dv_ttm,to_rate_f
2026-05-26,600860,京城股份,9.81,0.997,0.417,0.143,0.593,0.352,0.215,0.023,0.231,0.595,0.015,,0.145,0.39,0.833,0.753,0.566,0.244,0.587,0.038,0.496,0.32,0.266,0.747,0.52,0.593,0.472,0.417,0.351,0.267,0.147,0.541,0.713,0.153,0.027,0.075,0.3,0.3,0.346,0.533,0.764,0.31,,,0.271,,,0.243,,0.11,0.82,0.542,,,,,,,,
2026-05-26,600118,中国卫星,84.54,0.997,0.261,0.143,0.958,0.014,0.072,0.143,0.03,0.011,0.399,,0.417,0.011,0.07,0.298,0.835,0.321,0.449,0.652,0.811,0.843,0.439,0.095,0.146,0.627,0.859,0.261,0.432,0.266,0.081,0.368,0.202,0.743,0.293,0.321,0.9,0.9,0.538,0.703,0.019,0.319,,,0.189,,,0.655,,0.487,0.053,0.849,,,,,,,,
2026-05-26,688118,普元信息,24.62,0.997,0.69,0.143,0.637,0.176,0.146,0.063,0.111,0.199,0.052,,0.102,0.231,0.407,0.222,0.927,0.229,0.986,0.154,0.521,0.475,0.459,0.479,0.434,0.712,0.716,0.69,0.751,0.781,0.11,0.002,0.013,0.068,0.036,0.217,0.3,0.3,0.398,0.105,0.846,0.563,,,0.949,,,0.066,,0.035,0.198,0.65,,,,,,,,
2026-05-26,002463,沪电股份,133.36,0.996,0.922,0.143,0.754,0.962,0.897,0.994,0.976,0.976,0.998,,0.992,0.96,0.877,0.986,0.015,0.988,0.755,0.967,0.878,0.776,0.8,0.571,0.759,0.227,0.607,0.922,0.9,0.931,0.224,0.597,0.768,0.981,0.993,0.996,0.9,0.9,0.873,0.94,0.011,0.772,,,0.939,,,0.853,,0.861,0.496,0.449,,,,,,,,
2026-05-26,601869,长飞光纤,363.93,0.996,0.602,0.143,0.456,0.167,0.411,0.642,0.403,0.002,0.439,,0.11,0.114,0.418,0.563,0.95,0.482,0.302,0.748,0.786,0.772,0.732,0.552,0.462,0.442,0.889,0.602,0.832,0.735,0.055,0.059,0.235,0.19,0.479,0.513,0.9,0.9,0.112,0.252,0.019,0.627,,,0.798,,,0.135,,0.912,0.817,0.931,,,,,,,,
2026-05-26,300014,亿纬锂能,63.36,0.996,0.14,0.143,0.871,0.436,0.189,0.476,0.26,0.06,0.411,,0.4,0.263,0.602,0.623,0.234,0.36,0.093,0.509,0.343,0.461,0.373,0.054,0.592,0.119,0.494,0.14,0.199,0.244,0.337,0.224,0.616,0.576,0.323,0.78,0.9,0.9,0.701,0.396,0.008,0.249,,,0.098,,,0.795,,0.371,0.587,0.947,,,,,,,,
2026-05-26,601899,紫金矿业,32.9,0.995,0.882,0.143,0.903,0.546,0.449,0.357,0.681,0.357,0.681,,0.86,0.375,0.37,0.861,0.04,0.794,0.447,0.878,0.58,0.426,0.585,0.654,0.561,0.409,0.291,0.882,0.926,0.905,0.123,0.431,0.485,0.865,0.648,0.846,0.9,0.9,0.268,0.943,0.004,0.336,,,0.931,,,0.74,,0.457,0.608,0.376,,,,,,,,
2026-05-26,300423,昇辉科技,6.74,0.995,0.441,0.143,0.534,0.064,0.168,0.01,0.056,0.434,0.092,,0.062,0.104,0.312,0.508,0.675,0.195,0.977,0.089,0.634,0.56,0.691,0.358,0.212,0.799,0.554,0.441,0.177,0.283,0.197,0.59,0.632,0.034,0.068,0.184,0.3,0.3,0.088,0.459,0.876,0.62,,,0.311,,,0.205,,0.008,0.851,0.348,,,,,,,,
2026-05-26,300394,天孚通信,406.76,0.995,0.596,0.143,0.425,0.948,0.834,0.999,0.945,0.993,0.923,,0.942,0.944,0.913,0.927,0.086,0.905,0.727,0.961,0.935,0.886,0.926,0.487,0.563,0.337,0.862,0.596,0.55,0.373,0.22,0.19,0.157,0.939,0.887,0.879,0.9,0.9,0.757,0.882,0.005,0.851,,,0.249,,,0.972,,0.588,0.962,0.494,,,,,,,,
2026-05-26,301608,博实结,62.23,0.995,0.73,0.143,0.328,0.002,0.007,0.02,0.003,0.005,0.236,,0.001,0.002,0.853,0.75,0.835,0.028,0.806,0.696,0.998,0.993,0.998,0.002,0.001,0.008,0.959,0.73,0.355,0.647,0.111,0.293,0.243,0.222,0.121,0.546,0.3,0.3,0.007,0.655,0.911,0.426,,,0.65,,,0.036,,0.029,0.028,0.327,,,,,,,,
2026-05-26,301052,果麦文化,28.41,0.994,0.602,0.143,0.842,0.116,0.07,0.063,0.096,0.152,0.165,,0.156,0.166,0.283,0.261,0.766,0.166,0.86,0.216,0.48,0.456,0.44,0.189,0.512,0.795,0.591,0.602,0.681,0.658,0.074,0.207,0.372,0.141,0.095,0.103,0.3,0.3,0.355,0.406,0.721,0.394,,,0.669,,,0.122,,0.029,0.279,0.605,,,,,,,,
2026-05-26,301360,荣旗科技,65.67,0.994,0.862,0.143,0.226,0.014,0.068,0.099,0.007,0.012,0.005,,0.003,0.018,0.875,0.005,0.978,0.109,0.871,0.564,0.985,0.951,0.99,0.018,0.01,0.072,0.968,0.862,0.919,0.891,0.028,0.43,0.614,0.166,0.004,0.124,0.3,0.3,0.015,0.082,0.92,0.697,,,0.909,,,0.008,,0.082,0.075,0.342,,,,,,,,
2026-05-26,600703,三安光电,15.85,0.994,0.234,0.143,0.309,0.53,0.628,0.503,0.715,0.535,0.703,,0.211,0.353,0.436,0.801,0.522,0.684,0.663,0.602,0.732,0.757,0.648,0.103,0.297,0.204,0.807,0.234,0.306,0.13,0.235,0.548,0.429,0.186,0.623,0.155,0.9,0.9,0.605,0.53,0.016,0.635,,,0.111,,,0.517,,0.567,0.345,0.475,,,,,,,,
2026-05-26,600176,中国巨石,41.28,0.993,0.832,0.143,0.401,0.886,0.886,0.976,0.928,0.839,0.964,,0.972,0.866,0.158,0.742,0.045,0.968,0.239,0.95,0.825,0.743,0.562,0.037,0.082,0.773,0.746,0.832,0.838,0.833,0.016,0.215,0.443,0.976,0.927,0.996,0.9,0.9,0.231,0.744,0.014,0.812,,,0.876,,,0.914,,0.96,0.73,0.499,,,,,,,,
2026-05-26,301181,标榜股份,32.33,0.993,0.294,0.143,0.579,0.003,0.006,0.017,0.004,0.015,0.125,,0.003,0.005,0.618,0.832,0.678,0.025,0.783,0.224,0.985,0.968,0.994,0.002,0.003,0.001,0.989,0.294,0.13,0.236,0.185,0.293,0.684,0.005,0.073,0.036,0.3,0.3,0.158,0.285,0.917,0.623,,,0.124,,,0.313,,0.293,0.264,0.895,,,,,,,,
2026-05-26,300274,阳光电源,178.99,0.993,0.837,0.143,0.135,0.975,0.936,0.996,0.967,0.993,0.964,,0.954,0.973,0.571,0.834,0.021,0.98,0.035,0.793,0.88,0.799,0.711,0.779,0.881,0.534,0.66,0.837,0.714,0.724,0.503,0.57,0.122,0.952,0.915,0.835,0.9,0.9,0.522,0.933,0.004,0.888,,,0.707,,,0.904,,0.87,0.671,0.071,,,,,,,,
2026-05-26,603799,华友钴业,58.1,0.992,0.451,0.143,0.84,0.4,0.368,0.165,0.308,0.08,0.504,,0.698,0.234,0.253,0.149,0.117,0.538,0.57,0.898,0.467,0.482,0.595,0.785,0.675,0.445,0.552,0.451,0.704,0.666,0.121,0.1,0.003,0.839,0.403,0.843,0.9,0.9,0.934,0.914,0.018,0.556,,,0.686,,,0.861,,0.272,0.302,0.661,,,,,,,,
